PROVINCIA,CITTA,08/06,09/06,10/06,11/06,12/06,13/06,14/06,15/06,16/06,17/06,18/06,19/06,20/06,21/06,22/06,23/06,24/06,25/06
TO,TORINO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,BEINASCO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,BORGARO TORINESE,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,COLLEGNO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,GRUGLIASCO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,MONCALIERI,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,NICHELINO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,ORBASSANO,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,RIVOLI,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,SAN MAURO TORINESE,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,SETTIMO TORINESE,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,VENARIA,6,6,11,11,12,10,9,10,14,9,14,12,13,12,17,19,24,21
TO,CASELLE TORINESE,6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,CHIVASSO,6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,LEINI',6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,MAPPANO,6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,PIANEZZA,6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,VOLPIANO,6,2,7,10,9,10,8,8,8,8,-1,8,8,11,11,21,22,24
TO,CARMAGNOLA,7,5,11,10,11,10,9,8,9,8,12,11,10,10,11,21,22,24
TO,RIVALTA DI TORINO,7,5,11,10,11,10,9,8,9,8,12,11,10,10,11,21,22,24
TO,VINOVO,7,5,11,10,11,10,9,8,9,8,12,11,10,10,11,21,22,24
TO,CHIERI,7,5,11,10,11,10,9,8,9,8,12,11,10,10,11,21,22,24
TO,IVREA,9,5,7,12,10,9,4,6,8,6,7,8,7,7,10,12,19,20
AL,ALESSANDRIA,11,-1,-1,19,15,14,11,12,20,11,16,14,11,12,15,-1,18,21
AL,CASALE MONFERRATO,11,-1,-1,10,11,13,7,12,13,4,9,10,10,8,15,-1,19,17
AL,NOVI LIGURE,11,-1,-1,19,15,14,11,12,20,11,16,14,11,12,15,-1,18,21
AL,TORTONA,12,7,8,10,13,20,5,13,13,11,15,13,8,9,20,-1,20,17
AT,ASTI,8,7,10,12,13,13,8,11,12,9,15,14,11,9,11,13,16,17
BI,BIELLA,6,7,6,10,8,8,7,7,11,5,7,7,6,7,7,8,19,17
CN,ALBA,7,7,9,10,12,12,7,9,12,9,12,11,12,10,10,14,20,19
CN,BRA,7,7,9,10,12,12,7,9,12,9,12,11,12,10,10,14,20,19
NO,NOVARA,12,11,11,18,22,15,13,18,19,10,17,13,15,10,14,16,26,24
NO,TRECATE,12,11,11,18,22,15,13,18,19,10,17,13,15,10,14,16,26,24
VC,VERCELLI,9,10,12,12,16,17,12,24,17,21,20,22,12,12,17,28,26,24
