PROVINCIA,CITTA,RIFERIMENTO,DATA,ORARIO,AVG_SENSORE
AL,PONTESTURA,CASALE MONFERRATO,22/06,19.00,5.42
AL,PONTESTURA,CASALE MONFERRATO,22/06,20.00,5.27
AL,PONTESTURA,CASALE MONFERRATO,22/06,21.00,12.76
AL,PONTESTURA,CASALE MONFERRATO,22/06,22.00,12.81
AL,PONTESTURA,CASALE MONFERRATO,22/06,23.00,12.67
AL,PONTESTURA,CASALE MONFERRATO,23/06,0.00,16.08
AL,PONTESTURA,CASALE MONFERRATO,23/06,1.00,44.70
AL,PONTESTURA,CASALE MONFERRATO,23/06,2.00,46.24
AL,PONTESTURA,CASALE MONFERRATO,23/06,3.00,46.77
AL,PONTESTURA,CASALE MONFERRATO,23/06,4.00,45.78
AL,PONTESTURA,CASALE MONFERRATO,23/06,5.00,3.52
AL,PONTESTURA,CASALE MONFERRATO,23/06,6.00,3.42
AL,PONTESTURA,CASALE MONFERRATO,23/06,7.00,3.51
AL,PONTESTURA,CASALE MONFERRATO,23/06,8.00,3.40
AL,PONTESTURA,CASALE MONFERRATO,23/06,9.00,3.40
AL,PONTESTURA,CASALE MONFERRATO,23/06,10.00,3.41
AL,PONTESTURA,CASALE MONFERRATO,23/06,11.00,3.44
AL,PONTESTURA,CASALE MONFERRATO,23/06,12.00,3.49
AL,PONTESTURA,CASALE MONFERRATO,23/06,13.00,3.54
AL,PONTESTURA,CASALE MONFERRATO,23/06,14.00,3.63
AL,PONTESTURA,CASALE MONFERRATO,23/06,15.00,3.83
AL,PONTESTURA,CASALE MONFERRATO,23/06,16.00,3.79
AL,PONTESTURA,CASALE MONFERRATO,23/06,17.00,3.95
AL,PONTESTURA,CASALE MONFERRATO,23/06,18.00,5.49
AL,PONTESTURA,CASALE MONFERRATO,23/06,19.00,6.10
AL,PONTESTURA,CASALE MONFERRATO,23/06,20.00,6.17
AL,PONTESTURA,CASALE MONFERRATO,23/06,21.00,6.13
AL,PONTESTURA,CASALE MONFERRATO,23/06,22.00,6.09
AL,PONTESTURA,CASALE MONFERRATO,23/06,23.00,6.04
AL,PONTESTURA,CASALE MONFERRATO,24/06,0.00,5.99
AL,PONTESTURA,CASALE MONFERRATO,24/06,1.00,5.95
AL,PONTESTURA,CASALE MONFERRATO,24/06,2.00,5.74
AL,PONTESTURA,CASALE MONFERRATO,24/06,3.00,4.46
AL,PONTESTURA,CASALE MONFERRATO,24/06,4.00,3.63
AL,PONTESTURA,CASALE MONFERRATO,24/06,5.00,3.36
AL,PONTESTURA,CASALE MONFERRATO,24/06,6.00,3.36
AL,PONTESTURA,CASALE MONFERRATO,24/06,7.00,3.85
AL,PONTESTURA,CASALE MONFERRATO,24/06,8.00,3.82
AL,PONTESTURA,CASALE MONFERRATO,24/06,9.00,3.61
AL,PONTESTURA,CASALE MONFERRATO,24/06,10.00,3.69
AL,PONTESTURA,CASALE MONFERRATO,24/06,11.00,3.75
AL,PONTESTURA,CASALE MONFERRATO,24/06,12.00,3.76
AL,PONTESTURA,CASALE MONFERRATO,24/06,13.00,3.77
AL,PONTESTURA,CASALE MONFERRATO,24/06,14.00,3.81
AL,PONTESTURA,CASALE MONFERRATO,24/06,15.00,4.00
AL,PONTESTURA,CASALE MONFERRATO,24/06,16.00,5.22
AL,PONTESTURA,CASALE MONFERRATO,24/06,17.00,6.92
AL,PONTESTURA,CASALE MONFERRATO,24/06,18.00,6.94
AL,PONTESTURA,CASALE MONFERRATO,24/06,19.00,6.94
AL,PONTESTURA,CASALE MONFERRATO,24/06,20.00,6.91
AL,PONTESTURA,CASALE MONFERRATO,24/06,21.00,6.87
AL,PONTESTURA,CASALE MONFERRATO,24/06,22.00,6.83
AL,PONTESTURA,CASALE MONFERRATO,24/06,23.00,6.80
AL,PONTESTURA,CASALE MONFERRATO,25/06,0.00,6.59
AL,PONTESTURA,CASALE MONFERRATO,25/06,1.00,4.86
AL,PONTESTURA,CASALE MONFERRATO,25/06,2.00,3.86
AL,PONTESTURA,CASALE MONFERRATO,25/06,3.00,3.62
AL,PONTESTURA,CASALE MONFERRATO,25/06,4.00,3.40
AL,PONTESTURA,CASALE MONFERRATO,25/06,5.00,3.43

